compound_id,canonical_smiles,task,branch,pair_id,target_uniprot,offtarget_uniprot,seed_record_id,seed_zinc_id,similarity_to_seed,MW,cLogP,TPSA,rotatable_bonds,HBD,HBA,QED,SA,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_worst,detail_dd_sd,seed_detail_dd_median,dd_change_vs_seed,target_pose_stable,offtarget_pose_stable,ames,bbb,bioavailability,cyp1a2_inhibition,cyp2c19_inhibition,cyp2c9_inhibition,cyp2d6_inhibition,cyp3a4_inhibition,carcinogenicity,clintox,dili,hia,pampa,pgp_inhibition,herg,caco2,hepatocyte_clearance,microsome_clearance,half_life,solubility,vdss,cross_domain_shortlist,mmgbsa_baseline_complete,mmgbsa_dual_endpoint_improved,mmgbsa_status,final_selected
A6PX-P005-0146,CCN(C)C(=O)CNc1ccc(NC(=O)[C@]23COCC[C@H]2CN(C(=O)OC(C)(C)C)C3)cc1,05_o14843_partial,partial,O14843__O15529,O14843,O15529,05_o14843_partial::ZINC001466102363,ZINC001466102363,0.6153846153846154,460.5750000000002,2.788900000000001,100.20999999999998,6,2,6,0.6772207201099679,3.590541142803705,-6.873,-4.682,-2.2429999999999994,-1.7929999999999993,0.3029470067336679,-1.8019999999999996,-0.44099999999999984,True,False,0.24870116710662843,0.6170451998710632,0.5147425532341003,0.0062620168086141344,0.058648067712783816,0.03172332909889519,0.01919439248740673,0.5869869351387024,0.11657999902963638,0.30040830075740815,0.4606635391712189,0.9701529741287231,0.889238965511322,0.11930166259407997,0.5910702705383301,-4.726702622581316,49.500516357207495,54.5742730885522,29.364500433769923,-3.520716640607128,2.4163919525351454,True,True,True,dual_endpoint_improved,True
A6PX-P007-0261,NC(=O)CCCC(=O)N[C@H]1CCN2C(=O)c3cc(OCCO)ccc3CC[C@@H]12,07_galr2_full,full,O43603__O60755,O43603,O60755,07_galr2_full::ZINC000008296733,ZINC000008296733,0.3258426966292135,389.4520000000002,0.3588000000000009,121.96000000000001,8,3,5,0.5925316693619214,3.284621394917151,-6.309,-4.977,-1.4160000000000004,-1.13,0.1477317388602283,-1.1270000000000007,-0.2889999999999997,True,False,0.3784662842750549,0.29756139516830443,0.7908552289009094,0.0099295265506953,0.012610249547287821,0.006411883427063003,0.012234297953546048,0.07703675776720047,0.10709051489830017,0.16185462921857835,0.31896851360797884,0.9406393051147461,0.3424405425786972,0.09953925386071205,0.2778399743139744,-5.643778830078703,-1.0022319869406247,11.093909181964495,31.691707259235937,-1.8208145408639915,3.2035196769906045,True,False,False,seed_baseline_missing_or_failed,False
A6PX-P007-0129,COc1ccc([C@H]2CCN3C(=O)c4cc(-c5cccs5)ccc4NC(=O)[C@H]23)c(C)c1,07_galr2_partial,partial,O43603__O60755,O43603,O60755,07_galr2_partial::ZINC000008296733,ZINC000008296733,0.5316455696202531,418.51800000000003,4.682520000000004,58.64,3,1,4,0.6717557679498469,3.3243632119028037,-6.834,-5.543,-1.3250000000000002,-1.2299999999999995,0.07312242398121768,-1.1270000000000007,-0.1979999999999995,False,False,0.40724374949932096,0.7084609270095825,0.9196771502494812,0.19288840889930725,0.6958084583282471,0.7725101590156556,0.027347802743315698,0.8549594163894654,0.2781678155064583,0.20057377815246583,0.9645164489746094,0.9997988820075989,0.9428661704063416,0.9141371250152588,0.80248042345047,-4.825943687223848,83.90153601831052,92.39137013314178,64.35332239326485,-5.647306516483879,-3.88079705549501,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P008-0236,CNCc1ccc(S(=O)(=O)c2cc3ccccc3cc2C(=O)N2CCCC2)cc1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.2702702702702703,408.52300000000025,3.628000000000002,66.48,5,1,4,0.7001540853163176,2.182944068879891,-7.553,-6.062,-1.5059999999999993,-1.367,0.0995467506026971,-0.7800000000000002,-0.7259999999999991,True,False,0.061346695944666865,0.6407868981361389,0.8140001773834229,0.08922626860439778,0.4611964255571365,0.3300016909837723,0.13505716621875763,0.8461714625358582,0.502077293395996,0.26063268184661864,0.8483229517936707,0.9871689319610596,0.8155940055847168,0.35153351426124574,0.7022917985916137,-5.0405408847939,28.112575191472104,11.468804481441486,103.77353553653488,-4.291999307298037,-5.538082003576147,True,True,False,not_dual_endpoint_improved,False
A6PX-P008-0141,O=C(C1=Cc2ccccc2CN1S(=O)(=O)c1ccc2c(c1)OCCO2)N1CCCC1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.546875,426.4940000000003,2.6256000000000013,76.15,3,0,5,0.7542646509622875,2.6511302661599423,-8.005,-6.566,-1.4110000000000005,-1.3490000000000002,0.03795611501018872,-0.7800000000000002,-0.6310000000000002,True,True,0.05736686680465937,0.7719360828399658,0.8282623648643493,0.25897685885429383,0.9265664458274842,0.8998300790786743,0.056596285104751586,0.9204596519470215,0.1426448069512844,0.0466321986168623,0.9602133750915527,0.9996727228164672,0.9764912128448486,0.7615317285060883,0.6121932685375213,-4.546905879496255,52.15585411274795,45.86278681739249,21.79647551474225,-4.397920452312883,-1.9643266784676474,True,True,True,dual_endpoint_improved,True
A6PX-P008-0105,O=S(=O)(c1ccc2c(c1)OCCCO2)N1Cc2ccccc2C[C@H]1[C@H](O)C1CCCC1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.5625,443.56500000000034,3.5146000000000024,76.07000000000001,4,1,5,0.7826293925824966,3.38330082552193,-8.365,-6.968,-1.4030000000000005,-1.168000000000001,0.16566431923219477,-0.7800000000000002,-0.6230000000000002,True,True,0.046018560975790025,0.7884105682373047,0.8768394947052002,0.2623678296804428,0.8639925599098206,0.8216505527496338,0.15042432993650437,0.9186911940574646,0.24871849715709687,0.03969632834196091,0.726228678226471,0.9999382615089416,0.9195278763771058,0.8169893026351929,0.8130837440490722,-4.808501045790308,82.79314551796175,113.72872530575765,-32.425354562047836,-5.885163561138524,0.11891625446496254,True,True,True,dual_endpoint_improved,True
A6PX-P008-0086,O=C([C@@H]1Cc2ccccc2NN1S(=O)(=O)c1ccc2c(c1)OCCO2)N1CCCC1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.6833333333333333,429.49800000000033,2.0227,88.18,3,1,6,0.8033112104254442,3.101235459095215,-7.782,-6.41,-1.3719999999999999,-1.12,0.2641060393099709,-0.7800000000000002,-0.5919999999999996,True,False,0.23757783621549605,0.743639326095581,0.8116897940635681,0.16528598517179488,0.9509126424789429,0.8559579610824585,0.2268762022256851,0.9374385356903077,0.31770647764205934,0.12672919929027557,0.9438567161560059,0.9996915459632874,0.9598644852638245,0.5842119544744492,0.762471604347229,-4.692805268176833,57.323499833168036,46.83220621965387,3.670268683296309,-4.79584946055712,-5.153137355300631,True,True,True,dual_endpoint_improved,False
A6PX-P008-0088,O=S(=O)(c1ccc2c(c1)OCCO2)N1Cc2ccccc2C[C@H]1[C@@H](O)N1CCCC1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.65,430.5260000000003,1.9876,79.31,4,1,6,0.7993123451333717,3.3998817116869002,-7.637,-6.3,-1.3230000000000004,-1.0229999999999997,0.14483400460143653,-0.7800000000000002,-0.5430000000000001,True,True,0.07685197927057744,0.6388654112815857,0.7447153687477112,0.17642021477222442,0.6397833108901978,0.3046595022082329,0.5614813387393951,0.8388293981552124,0.13389491960406302,0.2983060911297798,0.6925358176231384,0.9990625262260437,0.9236446499824524,0.6744752764701843,0.9040304303169251,-5.118763047115187,64.72438103540335,80.12697691874746,-4.762298309278978,-4.350786367796335,-1.207174341058419,True,True,False,not_dual_endpoint_improved,False
A6PX-P008-0109,Cc1cccc2c1CN(S(=O)(=O)c1ccc3c(c1)OCCO3)[C@H]([C@@H](O)N1CCCC1)C2,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.5217391304347826,444.55300000000034,2.2960200000000004,79.31,4,1,6,0.7797053695370331,3.5812271695150155,-7.801,-6.578,-1.2229999999999999,-1.218,0.057312011539176075,-0.7800000000000002,-0.4429999999999996,True,True,0.08378197029232978,0.6364365696907044,0.7891364693641663,0.14842960089445115,0.7375875234603881,0.41569972038269043,0.5923371315002441,0.9618785619735718,0.13790840581059455,0.26031368523836135,0.6899770855903625,0.999732780456543,0.9620700359344483,0.8748862147331238,0.9409749031066894,-5.097983813488554,70.07299460480615,101.14223248502836,-13.231159072218,-4.322407470222812,-2.3298030426018768,False,False,False,not_evaluated_cross_domain_gate,False
A6PX-P008-0100,O=C(C1=Cc2cccc(O)c2C[C@@H]1S(=O)(=O)c1ccc2c(c1)OCCO2)N1CCCC1,08_galr2_full,full,O43603__P30874,O43603,P30874,08_galr2_full::ZINC000003277145,ZINC000003277145,0.4305555555555556,441.50500000000034,2.5678000000000014,93.14,3,1,6,0.787071521184217,3.3191922542106074,-8.052,-7.013,-1.057999999999999,-1.0389999999999997,0.026386023236218088,-0.7800000000000002,-0.2779999999999987,True,True,0.2099907010793686,0.7501838445663452,0.7186624884605408,0.37702716588974,0.9476354241371154,0.9174111723899842,0.1825831040740013,0.9423139214515686,0.15435889214277268,0.12345563471317292,0.9071955919265747,0.9995420217514038,0.8837573766708374,0.6337274372577667,0.7537057518959045,-5.073388432932748,43.62053787369482,37.15388996245217,36.57239826703655,-4.042094587182326,-3.6886959116257003,True,True,True,dual_endpoint_improved,True
