detail_record_id,pair_id,zinc_id,direction,target_uniprot,offtarget_uniprot,source_stage,hotspot_bw,fast_rank,fast_target,fast_offtarget,fast_dd,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_best,detail_dd_worst,detail_dd_sd,target_pose_stable,offtarget_pose_stable,high_confidence,pocketxmol_generated
A6BD-0001,O00421__P32246,ZINC000016020140,forward,O00421,P32246,wave1_detail_expansion,7.46x46,25,-7.223,-5.274,-1.949,-7.243,-5.703,-1.515000000000001,-1.62,-1.420999999999999,0.081282771168858,True,True,True,False
A6BD-0159,O00421__P32246,ZINC000064565708,reverse,P32246,O00421,wave1_detail_expansion,7.46x46,4,-8.19,-4.84,-3.35,-8.184,-5.388,-2.758000000000001,-3.237,-2.247999999999999,0.403823668889722,True,False,False,False
A6BD-0002,O00421__P35346,ZINC000733702257,forward,O00421,P35346,original_forward_top10,6.59x59,1,-7.13,-3.971,-3.159,-6.751,-4.941,-1.971,-2.052,-1.165,0.4004117325398391,False,False,False,False
A6BD-0177,O00421__P35346,ZINC000252492587,reverse,P35346,O00421,wave1_detail_expansion,6.59x59,5,-6.988,-4.243,-2.745,-6.619,-4.914,-1.727,-1.846,-1.686999999999999,0.06752941745804,False,False,False,False
A6BD-0004,O14804__Q969N4,ZINC000466601949,forward,O14804,Q969N4,wave1_detail_expansion,2.53x53,17,-6.968,-4.248,-2.72,-6.993,-4.907,-2.132,-2.199999999999999,-2.086,0.0468282915435621,True,False,True,False
A6BD-0263,O14804__Q969N4,ZINC000096105113,reverse,Q969N4,O14804,wave1_detail_expansion,2.53x53,18,-5.661,-3.599,-2.061999999999999,-5.779,-4.186,-1.45,-1.652,-1.401,0.1086308734507215,True,False,True,False
A6BD-0155,O43603__P32238,ZINC000787095926,reverse,P32238,O43603,wave1_detail_expansion,3.34x34,5,-6.721,-3.565,-3.156,-6.686,-4.334,-2.06,-2.937,-1.930000000000001,0.4472232850228915,False,False,False,False
A6BD-0010,O43613__O43614,ZINC000071789567,reverse,O43614,O43613,wave2_diverse_expansion,2.50x50,36,-7.72,-5.471,-2.249,-7.673,-5.607,-2.061,-2.108,-2.054,0.0239768406778056,True,True,True,False
A6BD-0020,P07550__P21918,ZINC000743422980,forward,P07550,P21918,wave4_expansion_rank101_200,2.53x53,176,-6.981,-5.093,-1.888,-6.948,-5.468,-1.48,-1.586,-1.415,0.070476158301151,True,False,True,False
A6BD-0088,P07550__P21918,ZINC000003433763,reverse,P21918,P07550,wave1_detail_expansion,2.53x53,23,-6.126,-4.113,-2.013,-6.386,-4.456,-1.949999999999999,-2.013,-1.492,0.232181442458742,False,False,False,False
A6BD-0023,P08172__P20309,ZINC000767342072,forward,P08172,P20309,original_forward_top10,2.50x50,2,-6.438,-3.265,-3.173,-6.083,-4.356,-1.466,-1.804999999999999,-1.269,0.2213659614504651,False,False,False,False
A6BD-0065,P08172__P20309,ZINC000032907607,reverse,P20309,P08172,wave4_expansion_rank101_200,2.50x50,179,-6.188,-4.293,-1.895,-6.321,-5.206,-1.114999999999999,-1.126,-1.1,0.0106562449087641,False,False,False,False
A6BD-0031,P08588__P08913,ZINC000769961110,forward,P08588,P08913,original_forward_top10,2.53x53,1,-6.483,-3.483,-3,-6.536,-4.104,-2.340999999999999,-2.437,-1.000999999999999,0.65548218045107,False,False,False,False
A6BD-0044,P08588__P08913,ZINC000431872868,reverse,P08913,P08588,wave2_diverse_expansion,2.53x53,93,-5.61,-3.536,-2.074,-5.369,-4.189,-1.022,-1.378,-1.003,0.1724728642102542,False,False,False,False
A6BD-0032,P08588__P18089,ZINC000742550024,forward,P08588,P18089,wave1_detail_expansion,2.53x53,17,-7.039,-4.691,-2.348,-6.974,-5.583,-1.498,-1.519,-1.201,0.1452101924797294,False,False,False,False
A6BD-0060,P08588__P18089,ZINC000101859513,reverse,P18089,P08588,wave1_detail_expansion,2.53x53,27,-6.735,-4.737,-1.998,-6.732,-5.302,-1.452,-1.564,-1.411,0.0646649484307807,False,False,False,False
A6BD-0034,P08588__P21918,ZINC000257203151,forward,P08588,P21918,wave2_diverse_expansion,2.53x53,83,-7.006,-5.093,-1.913,-7.128,-5.76,-1.378,-1.401999999999999,-1.368,0.0142672897060213,True,False,False,False
A6BD-0089,P08588__P21918,ZINC000767478420,reverse,P21918,P08588,wave1_detail_expansion,2.53x53,28,-5.601,-3.292,-2.309,-5.673,-3.712,-1.812,-2.182,-1.402,0.3185732080525431,False,False,False,False
A6BD-0035,P08588__P50406,ZINC000306124020,forward,P08588,P50406,wave1_detail_expansion,2.61x60,24,-9.546,-6.23,-3.315999999999999,-9.54,-6.33,-3.194,-3.246,-3.179,0.0287092706668456,False,False,False,False
A6BD-0230,P08588__P50406,ZINC000786268177,reverse,P50406,P08588,wave1_detail_expansion,2.61x60,30,-8.292,-6.629,-1.663,-8.226,-6.713,-1.457,-1.870000000000001,-1.414000000000001,0.2055761551239727,False,False,False,False
A6BD-0036,P08908__P11229,ZINC000003851417,forward,P08908,P11229,original_forward_top10,6.59x59,9,-7.35,-3.863,-3.487,-7.436,-4.642,-2.795,-3.447,-2.496,0.3970594693773495,False,False,False,False
A6BD-0051,P08908__P11229,ZINC000238950520,reverse,P11229,P08908,wave1_detail_expansion,6.59x59,2,-7.321,-4.947,-2.374,-7.157,-5.291,-1.866,-1.963,-1.828,0.0568409085860604,True,False,False,False
A6BD-0133,P0DMS8__P30542,ZINC000768806865,forward,P30542,P0DMS8,original_forward_top10,3.28x28,2,-6.309,-3.267,-3.042,-5.637,-4.293,-1.343999999999999,-1.495,-1.221,0.1120545502075762,False,False,False,False
A6BD-0048,P0DMS8__P30542,ZINC000466750023,reverse,P0DMS8,P30542,wave2_diverse_expansion,3.28x28,94,-6.155,-4.542,-1.613,-6.263,-4.677,-1.582,-1.705,-1.032,0.2926047770552551,False,True,False,False
A6BD-0054,P11229__P21728,ZINC001164821290,forward,P11229,P21728,wave2_diverse_expansion,2.68x67,64,-7.915,-6.215,-1.7,-8.084,-6.587,-1.538,-1.628,-1.452999999999999,0.0714531703674203,True,True,True,False
A6BD-0080,P11229__P21728,ZINC001470793641,reverse,P21728,P11229,wave1_detail_expansion,2.68x67,19,-8.78,-5.315,-3.464999999999999,-8.999,-6.127,-2.872000000000001,-2.876,-2.872,0.0018856180831641,True,True,True,False
A6BD-0058,P16473__P22888,ZINC000742796311,forward,P16473,P22888,original_forward_top10,2.64x64,6,-6.901,-3.906,-2.995,-6.744,-4.811,-1.765,-2.008,-1.719,0.1267920432133744,False,True,False,False
A6BD-0092,P16473__P22888,ZINC000575421163,reverse,P22888,P16473,wave1_detail_expansion,2.64x64,1,-6.489,-3.963,-2.526,-6.454,-4.949,-1.505,-1.621,-1.117999999999999,0.2150539983869688,True,False,True,False
A6BD-0059,P16473__P23945,ZINC000104078511,forward,P16473,P23945,original_forward_top10,7.38x37,1,-7.299,-3.703,-3.596,-7.352,-3.868,-3.484,-3.516,-3.423,0.0385774833578116,True,True,False,False
