seed_record_id,seed_zinc_id,bidirectional_seed_id,task,pair_id,target_uniprot,offtarget_uniprot,branch,hotspot_bw,fast_target,fast_offtarget,fast_dd,detail_target_median,detail_offtarget_median,detail_dd_median,detail_dd_worst,detail_dd_sd,generated_compound_count
05_o14843_partial::ZINC001466102363,ZINC001466102363,A6BD-0006,05_o14843_partial,O14843__O15529,O14843,O15529,partial,3.25x25,-7.883,-4.506,-3.377,-7.896,-5.772,-2.124,-1.739000000000001,0.3304007667464869,1
07_galr2_full::ZINC000008296733,ZINC000008296733,A6BD-0008,07_galr2_full,O43603__O60755,O43603,O60755,full,3.33x33,-6.117,-3.796,-2.321,-6.069,-4.919,-1.15,-1.071,0.0745162174742296,1
07_galr2_partial::ZINC000008296733,ZINC000008296733,A6BD-0008,07_galr2_partial,O43603__O60755,O43603,O60755,partial,3.33x33,-6.117,-3.796,-2.321,-6.069,-4.919,-1.15,-1.071,0.0745162174742296,1
08_galr2_full::ZINC000003277145,ZINC000003277145,A6BD-0009,08_galr2_full,O43603__P30874,O43603,P30874,full,3.37x37,-7.812,-5.632,-2.18,-7.821,-6.646,-1.187,-1.175,0.0282410261066332,7
105_p29371_full::ZINC001165007821,ZINC001165007821,A6BD-0130,105_p29371_full,P21452__P29371,P29371,P21452,full,3.40x40,-7.86,-5.757,-2.103000000000001,-7.926,-6.492,-1.442,-1.387,0.1480833098855734,4
105_p29371_partial::ZINC001165007821,ZINC001165007821,A6BD-0130,105_p29371_partial,P21452__P29371,P29371,P21452,partial,3.40x40,-7.86,-5.757,-2.103000000000001,-7.926,-6.492,-1.442,-1.387,0.1480833098855734,4
106_p29371_full::ZINC000012805649,ZINC000012805649,A6BD-0131,106_p29371_full,P25103__P29371,P29371,P25103,full,6.58x58,-8.871,-4.736,-4.135000000000001,-9.389,-5.195,-4.318999999999999,-3.786000000000001,0.2536484881791241,18
106_p29371_partial::ZINC000012805649,ZINC000012805649,A6BD-0131,106_p29371_partial,P25103__P29371,P29371,P25103,partial,6.58x58,-8.871,-4.736,-4.135000000000001,-9.389,-5.195,-4.318999999999999,-3.786000000000001,0.2536484881791241,21
107_p30550_full::ZINC000769849083,ZINC000769849083,A6BD-0134,107_p30550_full,P28336__P30550,P30550,P28336,full,2.46x46,-8.136,-5.694,-2.441999999999999,-8.276,-5.871,-2.381,-2.249000000000001,0.1456304302754822,1
107_p30550_partial::ZINC000769849083,ZINC000769849083,A6BD-0134,107_p30550_partial,P28336__P30550,P30550,P28336,partial,2.46x46,-8.136,-5.694,-2.441999999999999,-8.276,-5.871,-2.381,-2.249000000000001,0.1456304302754822,5
108_p30872_full::ZINC000023844941,ZINC000023844941,A6BD-0137,108_p30872_full,O43603__P30872,P30872,O43603,full,3.32x32,-9.824,-4.6,-5.224,-9.651,-4.951,-4.191,-4.152,0.2496455264748177,2
109_ssr1_partial::ZINC000071767231,ZINC000071767231,A6BD-0138,109_ssr1_partial,P30872__P30874,P30872,P30874,partial,3.36x36,-8.044,-1.019,-7.025,-8.018,-4.455,-3.636000000000001,-3.154,0.2380004668529504,3
10_o95136_full::ZINC000004962925,ZINC000004962925,A6BD-0012,10_o95136_full,O95136__P21453,O95136,P21453,full,1.59x59,-6.714,-5.41,-1.304,-6.704,-5.392,-1.313,-1.271,0.0197989898732232,8
110_p30872_full::ZINC000002803815,ZINC000002803815,A6BD-0139,110_p30872_full,P30872__P31391,P30872,P31391,full,3.36x36,-7.919,-2.944,-4.975,-8.108,-5.481,-2.609999999999999,-2.243,0.2614434291900767,13
111_ssr1_full::ZINC000021775530,ZINC000021775530,A6BD-0140,111_ssr1_full,P30872__P32745,P30872,P32745,full,3.36x36,-7.112,-0.49,-6.622,-7.36,-4.019,-3.2,-3.099,0.2469471378430795,3
111_ssr1_partial::ZINC000021775530,ZINC000021775530,A6BD-0140,111_ssr1_partial,P30872__P32745,P30872,P32745,partial,3.36x36,-7.112,-0.49,-6.622,-7.36,-4.019,-3.2,-3.099,0.2469471378430795,3
112_p30874_full::ZINC000008819026,ZINC000008819026,A6BD-0142,112_p30874_full,O43603__P30874,P30874,O43603,full,3.37x37,-7.889,-3.799,-4.09,-8.403,-5.221,-3.182,-2.826,0.3200961661056812,2
117_ssr2_full::ZINC000004758069,ZINC000004758069,A6BD-0147,117_ssr2_full,P30874__P41145,P30874,P41145,full,3.35x35,-6.912,-4.494,-2.418,-6.875,-5.336,-1.475,-1.409,0.1485986391443594,1
118_p30939_full::ZINC000008231416,ZINC000008231416,A6BD-0148,118_p30939_full,P28221__P30939,P30939,P28221,full,3.43x43,-7.92,-5.107,-2.813,-7.429,-5.654,-1.999000000000001,-1.754,0.1463033378521034,3
11_o95136_full::ZINC000743929159,ZINC000743929159,A6BD-0014,11_o95136_full,O95136__Q9H228,O95136,Q9H228,full,3.33x33,-5.867,-1.034,-4.833,-6.19,-4.422,-1.663,-1.653,0.0553052137385496,1
121_5ht1f_full::ZINC000731871688,ZINC000731871688,A6BD-0151,121_5ht1f_full,P30939__P47898,P30939,P47898,full,6.52x52,-10.486,-5.093,-5.393,-8.087,-5.42,-2.206,-1.863,0.4901811456549055,21
122_p31391_partial::ZINC000077313164,ZINC000077313164,A6BD-0153,122_p31391_partial,P30874__P31391,P31391,P30874,partial,3.36x36,-7.778,-0.697,-7.081,-7.85,-5.505,-2.351,-2.319,0.0381342657228667,1
123_ssr4_full::ZINC000008775429,ZINC000008775429,A6BD-0154,123_ssr4_full,P31391__P35346,P31391,P35346,full,3.39x39,-7.384,-0.159,-7.225,-7.324,-5.472,-1.851999999999999,-1.784,0.0325371582450998,6
124_cckar_full::ZINC000766816954,ZINC000766816954,A6BD-0156,124_cckar_full,P32238__P32239,P32238,P32239,full,3.34x34,-6.588,-4.103,-2.485,-6.591,-5.253,-1.345,-1.316,0.413355644559124,1
124_cckar_partial::ZINC000766816954,ZINC000766816954,A6BD-0156,124_cckar_partial,P32238__P32239,P32238,P32239,partial,3.34x34,-6.588,-4.103,-2.485,-6.591,-5.253,-1.345,-1.316,0.413355644559124,1
126_mc4r_partial::ZINC000032853754,ZINC000032853754,A6BD-0158,126_mc4r_partial,P32245__P33032,P32245,P33032,partial,3.43x43,-8.527,-6.112,-2.415,-8.364,-6.326,-2.038000000000001,-1.973,0.0551261180284706,1
128_ccr1_full::ZINC000555845879,ZINC000555845879,A6BD-0161,128_ccr1_full,P32246__P46094,P32246,P46094,full,3.33x33,-8.608,-4.706,-3.902,-8.437,-4.843,-3.355,-3.181,0.1693011780493236,1
128_ccr1_partial::ZINC000555845879,ZINC000555845879,A6BD-0161,128_ccr1_partial,P32246__P46094,P32246,P46094,partial,3.33x33,-8.608,-4.706,-3.902,-8.437,-4.843,-3.355,-3.181,0.1693011780493236,3
129_p32246_full::ZINC000011692426,ZINC000011692426,A6BD-0162,129_p32246_full,P32246__P49238,P32246,P49238,full,3.33x33,-8.687,-4.808,-3.879,-8.391,-5.093,-3.298,-3.265999999999999,0.022171052197755,1
130_p32246_full::ZINC000011692426,ZINC000011692426,A6BD-0163,130_p32246_full,P32246__P51677,P32246,P51677,full,3.33x33,-8.687,-4.591,-4.096,-8.353,-5.448,-2.904999999999999,-2.757999999999999,0.0804003869531875,6
132_p32247_partial::ZINC000009319302,ZINC000009319302,A6BD-0166,132_p32247_partial,P28336__P32247,P32247,P28336,partial,2.61x60,-10.896,-5.726,-5.170000000000001,-10.985,-6.005,-4.98,-4.401,0.3025194208641819,2
133_cxcr5_full::ZINC000770854464,ZINC000770854464,A6BD-0168,133_cxcr5_full,P32302__P49682,P32302,P49682,full,2.56x56,-6.801,-4.006,-2.795,-6.499,-5.012,-1.623,-1.487,0.1341251488556696,1
134_p32745_full::ZINC000016976293,ZINC000016976293,A6BD-0169,134_p32745_full,O43603__P32745,P32745,O43603,full,4.60x61,-8.035,-5.104,-2.931,-8.005,-5.583,-2.419,-2.414000000000001,0.0168588914885358,1
135_p32745_full::ZINC000026138023,ZINC000026138023,A6BD-0170,135_p32745_full,P30872__P32745,P32745,P30872,full,3.36x36,-7.038,-0.472,-6.566000000000001,-6.874,-3.784,-3.173,-3.003,0.2009284007357405,2
135_p32745_partial::ZINC000026138023,ZINC000026138023,A6BD-0170,135_p32745_partial,P30872__P32745,P32745,P30872,partial,3.36x36,-7.038,-0.472,-6.566000000000001,-6.874,-3.784,-3.173,-3.003,0.2009284007357405,11
136_ssr3_full::ZINC000010256415,ZINC000010256415,A6BD-0172,136_ssr3_full,P32745__P35346,P32745,P35346,full,2.46x46,-9.043,-5.99,-3.053,-9.224,-6.921,-2.466,-1.943000000000001,0.2528956745818762,2
137_p33032_full::ZINC001164679882,ZINC001164679882,A6BD-0173,137_p33032_full,P32245__P33032,P33032,P32245,full,3.43x43,-4.499,-0.435,-4.064,-6.131,-4.001,-2.13,-2.103000000000001,0.0390640499692488,4
138_p33032_full::ZINC000771265751,ZINC000771265751,A6BD-0174,138_p33032_full,P33032__P41968,P33032,P41968,full,7.39x38,-8.446,-6.04,-2.406,-7.855,-6.373,-1.474,-1.347,0.3515056503418148,2
138_p33032_partial::ZINC000771265751,ZINC000771265751,A6BD-0174,138_p33032_partial,P33032__P41968,P33032,P41968,partial,7.39x38,-8.446,-6.04,-2.406,-7.855,-6.373,-1.474,-1.347,0.3515056503418148,17
139_5ht7r_partial::ZINC000012508963,ZINC000012508963,A6BD-0176,139_5ht7r_partial,P34969__P35348,P34969,P35348,partial,2.43x43,-8.479,-5.518,-2.961,-8.451,-5.978,-2.476000000000001,-2.452999999999999,0.011343133018116,4
13_p04001_full::ZINC000006781581,ZINC000006781581,A6BD-0016,13_p04001_full,P04000__P04001,P04001,P04000,full,7.33x32,-8.288,-4.652,-3.636,-8.112,-5.885,-2.317000000000001,-2.227,0.0981201078044425,5
140_p35346_partial::ZINC000745880606,ZINC000745880606,A6BD-0180,140_p35346_partial,P30874__P35346,P35346,P30874,partial,2.46x46,-7.332,-4.698,-2.633999999999999,-7.321,-5.701,-1.604,-1.6,0.0377477004450451,1
143_p35346_partial::ZINC001164628999,ZINC001164628999,A6BD-0184,143_p35346_partial,P35346__P41143,P35346,P41143,partial,3.25x25,-6.548,-4.638,-1.91,-6.734,-5.351,-1.44,-1.375,0.0313723161756065,1
144_p35348_full::ZINC001504577013,ZINC001504577013,A6BD-0186,144_p35348_full,P21728__P35348,P35348,P21728,full,3.53x53,-7.862,-3.811,-4.051,-7.714,-5.153,-2.566000000000001,-2.467000000000001,0.0497393204617835,2
144_p35348_partial::ZINC001504577013,ZINC001504577013,A6BD-0186,144_p35348_partial,P21728__P35348,P35348,P21728,partial,3.53x53,-7.862,-3.811,-4.051,-7.714,-5.153,-2.566000000000001,-2.467000000000001,0.0497393204617835,5
146_p35348_full::ZINC000096144815,ZINC000096144815,A6BD-0188,146_p35348_full,P35348__P35368,P35348,P35368,full,3.53x53,-9.476,-5.511,-3.965,-9.546,-6.979,-2.523000000000001,-2.5,0.0277968823191854,14
148_p35372_full::ZINC000676291635,ZINC000676291635,A6BD-0190,148_p35372_full,P35346__P35372,P35372,P35346,full,3.39x39,-7.609,-0.53,-7.079,-7.943,-5.366,-2.912999999999999,-2.577,0.2102464162728001,2
149_mor_full::ZINC000019221396,ZINC000019221396,A6BD-0191,149_mor_full,P35372__P41143,P35372,P41143,full,2.50x50,-7.238,-4.315,-2.923,-6.896,-4.979,-1.872,-1.536,0.1699941175452846,2
149_mor_partial::ZINC000019221396,ZINC000019221396,A6BD-0191,149_mor_partial,P35372__P41143,P35372,P41143,partial,2.50x50,-7.238,-4.315,-2.923,-6.896,-4.979,-1.872,-1.536,0.1699941175452846,4
14_p07550_full::ZINC000032893021,ZINC000032893021,A6BD-0017,14_p07550_full,P07550__P08588,P07550,P08588,full,3.30x30,-7.439,-4.31,-3.129,-6.768,-5.243,-1.517,-1.291,0.2943754216793396,1
14_p07550_partial::ZINC000032893021,ZINC000032893021,A6BD-0017,14_p07550_partial,P07550__P08588,P07550,P08588,partial,3.30x30,-7.439,-4.31,-3.129,-6.768,-5.243,-1.517,-1.291,0.2943754216793396,1
151_mor_full::ZINC000674530781,ZINC000674530781,A6BD-0193,151_mor_full,P35372__P41146,P35372,P41146,full,2.50x50,-7.934,-4.646,-3.288,-7.957,-6.01,-1.947,-1.794,0.0759078388573935,8
151_mor_partial::ZINC000674530781,ZINC000674530781,A6BD-0193,151_mor_partial,P35372__P41146,P35372,P41146,partial,2.50x50,-7.934,-4.646,-3.288,-7.957,-6.01,-1.947,-1.794,0.0759078388573935,11
