pair_id,rank,uniprot_a,name_a,uniprot_b,name_b,surface_distance,pair_terminal_status,seed_task_records,generated_compounds,final_selected_count,hotspot1_bw,hotspot1_residues,hotspot1_fp_diff,hotspot2_bw,hotspot2_residues,hotspot2_fp_diff,hotspot3_bw,hotspot3_residues,hotspot3_fp_diff
O14843__O15529,1,O14843,FFAR3,O15529,GPR42,0.313,selected,1,1,1,3.25x25,C88->C88,1.794,7.39x38,T262->T262,1.484,3.26x26,P89->P89,1.288
P49019__Q8TDS4,2,P49019,HCAR3,Q8TDS4,HCAR2,0.468,direction_holds_only,0,0,0,3.25x25,C100->C100,1.384,3.26x26,R101->R101,1.258,6.58x58,I254->I254,1.177
P21728__P21918,3,P21728,DRD1,P21918,DRD5,0.477,selected,2,2,1,3.29x29,V100->V117,1.383,2.53x53,V73->V90,1.199,7.46x46,S324->S352,1.06
Q8NFJ6__Q8TCW9,4,Q8NFJ6,PKR2,Q8TCW9,PKR1,0.48,selected,3,5,3,7.49x49,N329->N338,1.432,4.42x42,A170->A179,1.242,1.57x57,L78->L87,1.179
P08172__P08173,5,P08172,ACM2,P08173,ACM4,0.481,final_review_no_selection,1,6,0,7.35x34,W422->W435,1.475,6.55x55,V407->V420,1.3,3.25x25,C96->C105,1.267
P04000__P04001,6,P04000,OPSR,P04001,OPSG,0.53,final_review_no_selection,1,5,0,7.33x32,L302->L302,1.287,7.31x30,H300->H300,1.249,3.22x22,H123->H123,1.121
P08913__P18089,7,P08913,ADA2A,P18089,ADA2B,0.541,selected,1,4,1,6.58x58,T412->G394,1.958,6.55x55,Y409->Y391,1.37,6.56x56,T410->S392,1.305
Q99679__Q9Y2T5,8,Q99679,GPR21,Q9Y2T5,GPR52,0.557,upstream_candidate_gate,0,0,0,7.35x34,S286->S299,2.137,7.36x35,F287->F300,2.009,3.25x25,C102->C114,1.529
P32246__P51677,9,P32246,CCR1,P51677,CCR3,0.587,selected,2,7,2,3.33x33,Y114->H114,2.346,3.25x25,C106->C106,1.499,6.59x59,V263->S263,1.488
Q969N4__Q96RI8,10,Q969N4,TAAR8,Q96RI8,TAAR6,0.587,upstream_candidate_gate,0,0,0,3.43x43,L122->L123,2.661,3.47x47,C126->S127,2.107,3.42x42,H121->H122,1.531
P25024__P25025,11,P25024,CXCR1,P25025,CXCR2,0.59,final_review_no_selection,2,7,0,7.43x42,F295->I304,2.161,7.39x38,E291->E300,1.867,5.42x43,P206->P215,1.654
P30872__P31391,12,P30872,SSR1,P31391,SSR4,0.597,selected,1,13,3,3.36x36,M141->M130,2.925,2.50x50,D104->D93,1.74,3.25x25,C130->C119,1.549
P28566__P30939,13,P28566,5HT1E,P30939,5HT1F,0.602,upstream_candidate_gate,0,0,0,6.58x58,V314->V316,1.946,7.49x49,N340->N343,1.901,1.35x35,I25->V26,1.631
P08912__P20309,14,P08912,ACM5,P20309,ACM3,0.604,,1,9,0,3.32x32,D110->D148,1.245,7.42x41,C484->C533,1.23,3.43x43,L121->L159,1.17
Q96RI8__Q96RI9,15,Q96RI8,TAAR6,Q96RI9,TAAR9,0.626,upstream_candidate_gate,0,0,0,2.53x53,V81->V81,2.524,2.40x40,N68->N68,2.007,3.35x35,F115->F115,1.637
P18089__P18825,16,P18089,ADA2B,P18825,ADA2C,0.627,selected,1,1,1,7.39x38,F412->F423,1.886,7.43x42,Y416->Y427,1.833,3.35x35,F95->F134,1.539
P16473__P22888,17,P16473,TSHR,P22888,LSHR,0.634,upstream_candidate_gate,0,0,0,2.64x64,D474->D419,1.569,3.38x38,L507->L452,1.503,1.56x56,I438->V383,1.462
P16473__P23945,18,P16473,TSHR,P23945,FSHR,0.634,upstream_candidate_gate,0,0,0,7.38x37,L663->L611,1.985,3.43x43,L512->L460,1.656,3.32x32,T501->T449,1.444
P41597__P51681,19,P41597,CCR2,P51681,CCR5,0.638,upstream_candidate_gate,0,0,0,5.42x43,R206->I198,2.357,3.53x53,A141->A129,1.722,3.33x33,H121->F109,1.703
P25103__P29371,20,P25103,NK1R,P29371,NK3R,0.641,selected,2,39,2,6.58x58,P271->T322,1.663,3.25x25,C105->C158,1.434,7.39x38,M291->F342,1.406
P28221__P28222,21,P28221,5HT1D,P28222,5HT1B,0.643,selected,1,1,1,7.46x46,S349->S362,1.707,7.56x56,F359->S372,1.524,3.37x37,T123->T134,1.402
P22888__P23945,22,P22888,LSHR,P23945,FSHR,0.644,selected,3,7,3,3.52x52,H466->H469,1.432,3.29x29,G443->G446,1.268,2.64x64,D419->D422,1.26
P25089__P25090,23,P25089,FPR3,P25090,FPR2,0.651,selected,2,4,1,2.43x43,Y64->Y64,2.123,2.39x39,N60->T60,2.052,3.43x43,I116->I116,1.963
P30550__P32247,24,P30550,GRPR,P32247,BRS3,0.653,direction_holds_only,0,0,0,5.35x36,P207->Q214,1.731,4.60x61,E175->E182,1.716,6.59x59,S288->S295,1.673
P08913__P18825,25,P08913,ADA2A,P18825,ADA2C,0.66,final_review_no_selection,2,13,0,6.58x58,T412->Y405,2.107,7.39x38,F427->F423,1.886,7.41x40,F429->I425,1.777
P08912__P11229,26,P08912,ACM5,P11229,ACM1,0.664,,1,1,0,3.47x47,S125->S120,1.474,2.53x53,I79->I74,1.454,7.46x46,S488->S411,1.392
P60893__Q9NS66,27,P60893,GPR85,Q9NS66,GP173,0.664,selected,1,5,3,6.58x58,R308->R309,1.358,5.62x62,A245->A247,1.352,7.53x53,C339->C340,1.338
P32238__P32239,28,P32238,CCKAR,P32239,GASR,0.665,selected,2,2,1,3.34x34,T123->V136,2.237,6.51x51,I329->V349,1.842,3.37x37,S126->S139,1.702
P32246__P51681,29,P32246,CCR1,P51681,CCR5,0.667,direction_holds_only,0,0,0,6.44x44,F248->Y244,2.776,3.38x38,S119->S114,2.655,2.50x50,D80->D76,2.505
P28223__P41595,30,P28223,5HT2A,P41595,5HT2B,0.668,selected,1,1,1,7.35x34,L362->L362,2.583,2.38x38,A108->A88,2.136,7.43x42,Y370->Y370,2.051
P07550__P21728,31,P07550,ADRB2,P21728,DRD1,0.671,final_review_no_selection,1,31,0,3.30x30,S111->A101,1.614,2.38x38,V67->V58,1.538,4.39x39,K147->P137,1.479
Q92633__Q9UBY5,32,Q92633,LPAR1,Q9UBY5,LPAR3,0.674,selected,1,1,1,2.57x57,Y102->Y83,1.534,7.53x53,Y311->Y293,1.473,2.39x39,I84->F65,1.412
P30874__P35346,33,P30874,SSR2,P35346,SSR5,0.677,final_review_no_selection,1,1,0,2.46x46,L85->L82,2.71,2.63x63,Q102->Q99,1.606,3.36x36,Q126->Q123,1.311
P07550__P08588,34,P07550,ADRB2,P08588,ADRB1,0.679,final_review_no_selection,2,2,0,3.30x30,S111->S136,1.601,1.28x28,D29->S54,1.584,7.39x38,N312->N363,1.467
P30872__P35346,35,P30872,SSR1,P35346,SSR5,0.682,direction_holds_only,0,0,0,3.25x25,C130->C112,2.128,3.36x36,M141->Q123,2.043,3.32x32,D137->D119,2.001
P08173__P11229,36,P08173,ACM4,P11229,ACM1,0.688,selected,1,1,1,7.35x34,W435->W400,1.883,2.68x67,G96->G89,1.821,6.28x28,A393->V358,1.561
P30872__P30874,37,P30872,SSR1,P30874,SSR2,0.689,selected,1,3,3,3.36x36,M141->Q126,1.819,3.32x32,D137->D122,1.617,3.33x33,A138->G123,1.615
Q96LB0__Q96LB2,38,Q96LB0,MRGX3,Q96LB2,MRGX1,0.689,upstream_candidate_gate,0,0,0,2.40x40,S62->S62,2.063,2.39x39,V61->F61,1.826,6.33x33,L214->L214,1.698
P30874__P32745,39,P30874,SSR2,P32745,SSR3,0.692,upstream_candidate_gate,0,0,0,7.39x38,V298->V299,2.025,3.36x36,Q126->Q127,2.016,2.63x63,Q102->Q103,1.962
P35372__P41145,40,P35372,OPRM,P41145,OPRK,0.698,final_review_no_selection,2,27,0,3.50x50,R167->R156,2.602,3.54x54,V171->V160,1.648,3.47x47,S164->S153,1.593
O43613__O43614,41,O43613,OX1R,O43614,OX2R,0.698,direction_holds_only,0,0,0,2.50x50,D92->D100,2.023,2.46x46,L88->L96,1.927,2.53x53,V95->V103,1.85
P28222__P28566,42,P28222,5HT1B,P28566,5HT1E,0.699,upstream_candidate_gate,0,0,0,3.38x38,A135->C108,1.817,3.37x37,T134->T107,1.815,6.58x58,M337->V314,1.62
P21452__P25103,43,P21452,NK2R,P25103,NK1R,0.699,upstream_candidate_gate,1,1,0,3.40x40,I121->I120,1.573,3.48x48,A129->F128,1.502,3.38x38,V119->A118,1.409
P51677__P51681,44,P51677,CCR3,P51681,CCR5,0.699,selected,2,19,2,2.50x50,D80->D76,3.008,6.44x44,F248->Y244,2.606,3.38x38,S119->S114,2.467
Q969N4__Q96RI9,45,Q969N4,TAAR8,Q96RI9,TAAR9,0.701,upstream_candidate_gate,0,0,0,2.53x53,V80->V81,2.578,3.43x43,L122->L123,2.555,3.46x46,I125->I126,2.1
P21453__Q99500,46,P21453,S1PR1,Q99500,S1PR3,0.701,final_review_no_selection,2,8,0,5.40x40,I203->I197,1.556,4.38x38,N156->K150,1.34,6.32x32,A253->A240,1.288
P25100__P35368,47,P25100,ADA1D,P35368,ADA1B,0.703,final_review_no_selection,1,1,0,5.46x461,S262->S211,1.676,1.29x29,S93->I42,1.624,1.32x32,G96->A45,1.41
P41143__P41145,48,P41143,OPRD,P41145,OPRK,0.705,selected,1,2,1,7.46x46,S311->S323,2.22,2.50x50,D95->D105,2.111,2.53x53,A98->V108,1.794
P32246__P51685,49,P32246,CCR1,P51685,CCR8,0.705,selected,1,2,2,7.46x46,C294->C293,2.04,1.31x31,G33->G34,1.882,1.28x28,R30->Q31,1.513
P07550__P13945,50,P07550,ADRB2,P13945,ADRB3,0.706,selected,2,27,3,7.39x38,N312->N332,1.717,1.56x56,A57->A61,1.59,3.30x30,S111->S115,1.464
P32246__P41597,51,P32246,CCR1,P41597,CCR2,0.709,direction_holds_only,0,0,0,6.44x44,F248->Y252,2.848,3.38x38,S119->G126,2.295,2.50x50,D80->D88,2.079
P28336__P30550,52,P28336,NMBR,P30550,GRPR,0.71,selected,3,7,3,2.46x46,L85->L82,1.965,1.53x53,L64->L61,1.592,5.39x40,S213->S211,1.563
P46089__P46095,53,P46089,GPR3,P46095,GPR6,0.71,final_review_no_selection,1,1,0,7.43x42,T287->T319,1.916,7.36x35,Y280->Y312,1.651,1.42x42,S50->S82,1.346
P08588__P21728,54,P08588,ADRB1,P21728,DRD1,0.71,final_review_no_selection,1,17,0,2.64x63,I118->A84,1.962,2.40x40,N94->N60,1.439,4.39x39,R172->P137,1.413
P07550__P21918,55,P07550,ADRB2,P21918,DRD5,0.717,upstream_candidate_gate,0,0,0,2.53x53,M82->V90,2.032,3.25x25,C106->C113,1.864,7.46x46,S319->S352,1.726
P08173__P08912,56,P08173,ACM4,P08912,ACM5,0.717,selected,3,6,1,2.50x50,D78->D76,2.077,7.46x46,S446->S488,1.814,5.47x47,F204->F202,1.539
P14416__P35462,57,P14416,DRD2,P35462,DRD3,0.718,final_review_no_selection,2,19,0,2.68x67,G98->G93,2.038,7.36x35,S409->S366,2.002,7.32x31,P405->P362,1.792
P48145__P48146,58,P48145,NPBW1,P48146,NPBW2,0.719,final_review_no_selection,1,1,0,6.33x33,V249->V258,1.576,3.54x54,V138->V146,1.509,2.43x43,I76->I84,1.45
Q8TDS4__Q9BXC0,59,Q8TDS4,HCAR2,Q9BXC0,HCAR1,0.721,final_review_no_selection,1,2,0,7.36x35,F277->H261,2.119,3.32x32,L107->L95,1.983,6.48x48,F244->Y233,1.645
O95136__P21453,60,O95136,S1PR2,P21453,S1PR1,0.724,,1,8,0,1.59x59,R60->K72,1.454,7.43x42,T278->V301,1.421,1.58x58,A59->W71,1.374
P08172__P20309,61,P08172,ACM2,P20309,ACM3,0.725,direction_holds_only,0,0,0,2.50x50,D69->D114,2.974,7.46x46,S433->S537,2.759,2.53x53,I72->I117,2.363
O43603__O60755,62,O43603,GALR2,O60755,GALR3,0.727,final_review_no_selection,2,2,0,3.33x33,F106->Y103,2.211,5.46x461,S195->G192,1.849,3.38x38,A111->A108,1.686
Q96LA9__Q96LB2,63,Q96LA9,MRGX4,Q96LB2,MRGX1,0.727,selected,3,13,1,3.26x26,K96->K96,1.832,3.30x30,S100->P100,1.83,6.56x56,A237->F237,1.785
O14804__Q96RI8,64,O14804,TAAR5,Q96RI8,TAAR6,0.73,final_review_no_selection,1,1,0,3.43x43,L125->L123,2.734,3.46x46,I128->I126,2.041,3.47x47,S129->S127,1.89
O95136__Q9H228,65,O95136,S1PR2,Q9H228,S1PR5,0.73,selected,3,40,2,3.33x33,F113->F116,1.749,3.53x53,A133->T136,1.535,2.39x39,M68->M71,1.494
P32745__P35346,66,P32745,SSR3,P35346,SSR5,0.732,selected,1,2,2,2.46x46,L86->L82,1.888,3.39x39,S130->S126,1.8,1.31x31,S43->R39,1.736
P08172__P08912,67,P08172,ACM2,P08912,ACM5,0.732,final_review_no_selection,1,4,0,2.50x50,D69->D76,2.181,7.46x46,S433->S488,2.136,7.43x42,Y430->Y485,1.849
Q16538__Q6NV75,68,Q16538,GP162,Q6NV75,GP153,0.739,final_review_no_selection,1,1,0,3.32x32,Y97->F90,2.001,5.42x42,F183->F176,1.54,6.43x43,Y280->Y253,1.519
P46094__P51677,69,P46094,XCR1,P51677,CCR3,0.739,upstream_candidate_gate,2,2,0,6.59x59,T249->S263,2.098,2.60x60,W87->W90,2.082,3.32x32,F109->Y113,1.671
P08908__P21917,70,P08908,5HT1A,P21917,DRD4,0.74,final_review_no_selection,2,3,0,3.38x38,S122->A121,2.842,6.59x59,P369->A370,1.903,3.49x49,D133->D132,1.531
P08172__P11229,71,P08172,ACM2,P11229,ACM1,0.746,selected,2,31,3,2.68x67,G87->G89,1.926,6.27x27,P379->L357,1.757,6.28x28,S380->V358,1.71
P08588__P21918,72,P08588,ADRB1,P21918,DRD5,0.746,upstream_candidate_gate,0,0,0,2.53x53,M107->V90,2.157,2.64x63,I118->A101,1.834,7.46x46,S370->S352,1.479
P41143__P41146,73,P41143,OPRD,P41146,OPRX,0.749,upstream_candidate_gate,0,0,0,6.55x55,V281->V283,1.763,6.58x58,W284->Q286,1.725,3.36x36,M132->M134,1.57
P30872__P32745,74,P30872,SSR1,P32745,SSR3,0.751,selected,4,19,1,3.36x36,M141->Q127,2.362,1.31x31,S57->S43,1.833,3.35x35,N140->N126,1.757
P08588__P08913,75,P08588,ADRB1,P08913,ADA2A,0.752,direction_holds_only,0,0,0,2.53x53,M107->V97,1.502,4.60x60,P193->P183,1.49,2.50x50,D104->D94,1.455
P25021__Q13639,76,P25021,HRH2,Q13639,5HT4R,0.752,final_review_no_selection,1,2,0,2.64x63,Y78->E80,1.592,2.43x43,I57->I59,1.51,2.39x39,T53->T55,1.47
P33032__P41968,77,P33032,MC5R,P41968,MC3R,0.753,selected,2,19,3,7.39x38,L281->L285,2.521,7.42x41,I284->I288,2.359,3.29x29,D119->D121,2.172
P48039__P49286,78,P48039,MTR1A,P49286,MTR1B,0.754,final_review_no_selection,3,8,0,7.39x38,Y281->Y294,1.872,3.38x38,G113->G126,1.765,3.53x53,Y128->Y141,1.523
O14804__Q969N4,79,O14804,TAAR5,Q969N4,TAAR8,0.756,upstream_candidate_gate,0,0,0,2.53x53,L83->V80,1.38,5.65x65,A226->A223,1.367,3.34x34,L116->A113,1.355
P30874__P31391,80,P30874,SSR2,P31391,SSR4,0.757,selected,1,1,1,3.36x36,Q126->M130,2.357,2.46x46,L85->L89,1.879,2.62x62,M101->S105,1.736
P21728__P50406,81,P21728,DRD1,P50406,5HT6R,0.757,selected,2,2,2,6.55x55,N292->N288,1.698,2.64x63,A84->N86,1.677,3.33x33,I104->V107,1.56
P21917__P35462,82,P21917,DRD4,P35462,DRD3,0.758,direction_holds_only,0,0,0,3.38x38,A121->A116,2.14,6.58x58,Q369->N352,1.828,6.55x55,H366->H349,1.828
P0DMS8__P30542,83,P0DMS8,AA3R,P30542,AA1R,0.76,,0,0,0,3.28x28,M86->V83,1.648,3.26x26,L84->L81,1.541,5.39x41,V178->V181,1.411
P49019__Q9BXC0,84,P49019,HCAR3,Q9BXC0,HCAR1,0.76,final_review_no_selection,2,3,0,6.48x48,F244->Y233,2.397,7.36x35,F277->H261,2.334,7.40x39,S281->S265,1.555
P49238__P51685,85,P49238,CX3C1,P51685,CCR8,0.761,final_review_no_selection,1,1,0,3.33x33,F110->Y114,2.584,3.37x37,F114->Y118,1.92,4.60x61,Q164->L168,1.912
P49682__Q9NPB9,86,P49682,CXCR3,Q9NPB9,ACKR4,0.762,upstream_candidate_gate,0,0,0,2.50x50,D99->D87,2.667,6.59x59,I279->A264,1.876,2.46x46,L95->L83,1.658
P49238__P49682,87,P49238,CX3C1,P49682,CXCR3,0.763,final_review_no_selection,1,1,0,3.29x29,T106->G128,2.097,3.32x32,F109->F131,2.067,5.31x32,Q184->P208,2.03
O95136__Q99500,88,O95136,S1PR2,Q99500,S1PR3,0.765,final_review_no_selection,1,1,0,1.60x60,N61->N67,1.492,3.53x53,A133->T139,1.412,1.59x59,R60->K66,1.374
P46094__P51685,89,P46094,XCR1,P51685,CCR8,0.766,upstream_candidate_gate,0,0,0,3.33x33,S110->Y114,2.326,3.43x43,L120->I124,1.848,3.37x37,Y114->Y118,1.82
O00421__P51677,90,O00421,CCRL2,P51677,CCR3,0.767,selected,1,1,1,3.33x33,F111->H114,2.633,2.63x63,A97->Y93,2.082,3.29x29,I107->S110,2.054
P21452__P29371,91,P21452,NK2R,P29371,NK3R,0.767,selected,2,8,3,3.40x40,I121->I173,2.271,2.61x61,N90->N142,1.548,3.52x52,M133->M185,1.44
P28222__P30939,92,P28222,5HT1B,P30939,5HT1F,0.767,upstream_candidate_gate,0,0,0,7.33x32,A349->E327,1.982,2.50x50,D95->D69,1.977,6.55x55,S334->E313,1.968
