uniprot,name,subfamily,surface_asset_count,surface_asset_bytes,core_assets_complete,nearest_neighbor,nearest_distance,selected_pair_count,public_raw_asset_status
O00155,,,5,3662876,True,Q92847,0.9226,0,pending_external_archive
O00254,,,5,3589844,True,Q9HC97,0.9518,0,pending_external_archive
O00270,,,5,3120176,True,Q96P68,1.0277,0,pending_external_archive
O00398,,,5,3221056,True,P43657,0.8639,0,pending_external_archive
O00421,CCRL2,,5,3531400,True,P51677,0.7666,3,pending_external_archive
O00574,,,5,3494280,True,Q9NS75,0.8229,0,pending_external_archive
O00590,,,5,4037372,True,P51679,0.8452,0,pending_external_archive
O14626,,,5,3032220,True,Q15391,0.9835,0,pending_external_archive
O14718,,,5,3248216,True,P04000,0.8412,0,pending_external_archive
O14804,TAAR5,,5,3255196,True,Q96RI8,0.73,2,pending_external_archive
O14842,,,5,2683072,True,Q9Y2T6,0.9028,0,pending_external_archive
O14843,FFAR3,,5,3226692,True,O15529,0.3132,1,pending_external_archive
O15218,,,5,4370420,True,P50052,0.9377,0,pending_external_archive
O15354,,,5,7587280,True,O60883,0.9066,0,pending_external_archive
O15529,GPR42,,5,3221184,True,O14843,0.3132,1,pending_external_archive
O15552,,,5,3111760,True,O00398,0.9123,0,pending_external_archive
O43193,,,5,4452756,True,P34981,0.8349,0,pending_external_archive
O43194,,,5,4987960,True,P30989,0.8866,0,pending_external_archive
O43603,GALR2,,5,4106172,True,O60755,0.7267,5,pending_external_archive
O43613,OX1R,Orexin,5,4630876,True,O43614,0.6985,1,pending_external_archive
O43614,OX2R,Orexin,5,4915256,True,O43613,0.6985,1,pending_external_archive
O60755,GALR3,,5,3710016,True,O43603,0.7267,1,pending_external_archive
O60883,,,5,5570712,True,O15354,0.9066,0,pending_external_archive
O75388,,,5,3643032,True,Q9NPB9,0.8949,0,pending_external_archive
O75473,,,5,8674204,True,Q9HBX8,0.8838,0,pending_external_archive
O95136,S1PR2,S1P,5,3567648,True,P21453,0.724,4,pending_external_archive
O95665,,,5,4167436,True,P30989,0.8229,0,pending_external_archive
O95800,,,5,6545488,True,P41595,1.061,0,pending_external_archive
O95977,,,5,3784636,True,O95136,0.82,0,pending_external_archive
P03999,,,5,3081152,True,P08100,0.8242,0,pending_external_archive
P04000,OPSR,,5,3599796,True,P04001,0.5298,1,pending_external_archive
P04001,OPSG,,5,3512688,True,P04000,0.5298,1,pending_external_archive
P04201,,,5,3297412,True,Q96LB2,0.8919,0,pending_external_archive
P07550,ADRB2,Adrenergic_beta,5,4578308,True,P21728,0.6709,4,pending_external_archive
P08100,,,5,3011000,True,P03999,0.8242,0,pending_external_archive
P08172,ACM2,Muscarinic,5,5403540,True,P08173,0.4811,4,pending_external_archive
P08173,ACM4,Muscarinic,5,5462548,True,P08172,0.4811,5,pending_external_archive
P08588,ADRB1,Adrenergic_beta,5,5418920,True,P07550,0.6789,7,pending_external_archive
P08908,5HT1A,,5,4646540,True,P21917,0.7403,3,pending_external_archive
P08912,ACM5,Muscarinic,5,6525820,True,P20309,0.6045,5,pending_external_archive
P08913,ADA2A,,5,5591296,True,P18089,0.5413,3,pending_external_archive
P0DMS8,AA3R,Adenosine,5,2985692,True,P30542,0.7597,2,pending_external_archive
P11229,ACM1,Muscarinic,5,5384932,True,P08912,0.6641,6,pending_external_archive
P13945,ADRB3,Adrenergic_beta,5,4347868,True,P07550,0.7057,2,pending_external_archive
P14416,DRD2,Dopamine_D2D3D4,5,5119596,True,P35462,0.718,1,pending_external_archive
P16473,TSHR,,5,8026740,True,P22888,0.6338,2,pending_external_archive
P18089,ADA2B,,5,5287176,True,P08913,0.5413,3,pending_external_archive
P18825,ADA2C,,5,5096584,True,P18089,0.6274,3,pending_external_archive
P20309,ACM3,Muscarinic,5,7271612,True,P08912,0.6045,4,pending_external_archive
P21452,NK2R,,5,4146360,True,P25103,0.6991,3,pending_external_archive
P21453,S1PR1,S1P,5,3951612,True,Q99500,0.701,3,pending_external_archive
P21462,FPR1,,5,3415428,True,P25090,0.7765,2,pending_external_archive
P21554,,,5,5332244,True,P34969,0.9122,0,pending_external_archive
P21728,DRD1,,5,5123840,True,P21918,0.4772,9,pending_external_archive
P21730,,,5,3501444,True,P51684,0.872,0,pending_external_archive
P21731,,,5,3190456,True,P43115,0.9163,0,pending_external_archive
P21917,DRD4,,5,4457224,True,P08908,0.7403,2,pending_external_archive
P21918,DRD5,,5,5682228,True,P21728,0.4772,4,pending_external_archive
P22888,LSHR,,5,6880304,True,P16473,0.6338,2,pending_external_archive
P23945,FSHR,,5,6682656,True,P16473,0.634,2,pending_external_archive
P24530,EDNRB,,5,4699508,True,P25101,0.7946,1,pending_external_archive
P25021,HRH2,,5,3681108,True,Q13639,0.7524,3,pending_external_archive
P25024,CXCR1,,5,3582612,True,P25025,0.5899,2,pending_external_archive
P25025,CXCR2,,5,3788868,True,P25024,0.5899,1,pending_external_archive
P25089,FPR3,,5,3649432,True,P25090,0.6513,2,pending_external_archive
P25090,FPR2,,5,3450476,True,P25089,0.6513,2,pending_external_archive
P25100,ADA1D,,5,6812964,True,P35368,0.7034,1,pending_external_archive
P25101,EDNRA,,5,4733768,True,P24530,0.7946,1,pending_external_archive
P25103,NK1R,,5,4361152,True,P29371,0.6409,3,pending_external_archive
P25105,,,5,3319032,True,P43657,0.8418,0,pending_external_archive
P25106,,,5,3672936,True,P50052,0.8073,0,pending_external_archive
P25116,,,5,4464884,True,Q96RI0,0.8335,0,pending_external_archive
P25929,NPY1R,,5,4129716,True,P50391,0.7969,1,pending_external_archive
P28221,5HT1D,,5,4091004,True,P28222,0.6433,4,pending_external_archive
P28222,5HT1B,,5,4280324,True,P28221,0.6433,3,pending_external_archive
P28223,5HT2A,Serotonin_5HT2,6,5593132,True,P41595,0.6685,1,pending_external_archive
P28335,,Serotonin_5HT2,5,5243100,True,P35462,0.9929,0,pending_external_archive
P28336,NMBR,,5,4209892,True,P30550,0.7097,2,pending_external_archive
P28566,5HT1E,,5,3964208,True,P30939,0.6025,6,pending_external_archive
P29274,,Adenosine,5,4389980,True,P08588,0.8067,0,pending_external_archive
P29275,AA2BR,Adenosine,5,3168492,True,P0DMS8,0.7675,1,pending_external_archive
P29371,NK3R,,5,5254080,True,P25103,0.6409,2,pending_external_archive
P30411,BKRB2,,5,3978896,True,P51685,0.7974,1,pending_external_archive
P30518,,,5,3815112,True,P37288,0.8043,0,pending_external_archive
P30542,AA1R,Adenosine,5,3136556,True,P0DMS8,0.7597,1,pending_external_archive
P30550,GRPR,,5,4136664,True,P32247,0.6525,2,pending_external_archive
P30556,,,5,3771616,True,O00574,0.9321,0,pending_external_archive
P30559,OXYR,,5,4097932,True,P37288,0.7819,1,pending_external_archive
P30872,SSR1,,5,4088292,True,P31391,0.5968,5,pending_external_archive
P30874,SSR2,,5,3699352,True,P35346,0.6769,6,pending_external_archive
P30939,5HT1F,,5,3772296,True,P28566,0.6025,4,pending_external_archive
P30968,,,5,3327092,True,P30874,0.8662,0,pending_external_archive
P30989,,,5,4290716,True,O95665,0.8229,0,pending_external_archive
P31391,SSR4,,5,3991132,True,P30872,0.5968,3,pending_external_archive
P32238,CCKAR,,5,4620480,True,P32239,0.6653,2,pending_external_archive
